"","hgnc_symbol","ensembl_gene_id","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"21","APCS","ENSG00000132703","rs726640","47262364",6e-117,0.01801565,0.4141669,"[0.38-0.45]","c-reactive protein measurement","EFO_0004458"
"22","APCS","ENSG00000132703","rs79828990","34840062",7e-06,0.0075664,0.034045,"[0.019-0.049]","reaction time measurement","EFO_0008393"
"23","APCS","ENSG00000132703","rs116073407","61998332",9e-16,0.00879446,0.0706692,"[0.053-0.088]","c-reactive protein measurement","EFO_0004458"
"24","APCS","ENSG00000132703","rs75285799",NA,NA,NA,NA,NA,NA,NA
"25","APCS","ENSG00000132703","rs61821567","61998328",2e-20,0.00590248,0.0548272,"[0.043-0.066]","c-reactive protein measurement","EFO_0004458"
"26","APCS","ENSG00000132703","rs112689575","61998320",5e-13,0.00720459,0.0519924,"[0.038-0.066]","c-reactive protein measurement","EFO_0004458"
"27","APCS","ENSG00000132703","rs4641306","61998308",2e-16,0.00683332,0.0562066,"[0.043-0.07]","c-reactive protein measurement","EFO_0004458"
"28","APCS","ENSG00000132703","rs2369135","47266960",3e-119,0.003596114,0.08350969,"[0.076-0.091]","leukocyte count","EFO_0004308"
"29","APOA1","ENSG00000118137","rs9326246","17333011",3e-07,NA,NA,"[1.09-1.21]","coronary artery disease","EFO_0001645"
"30","APOA1","ENSG00000118137","rs3825041","17541847",7e-20,NA,NA,NA,"hypertriglyceridemia","EFO_0004211"
"31","APOA1","ENSG00000118137","rs11216168","17543212",4e-07,0.0036563266,0.0185,"[0.011-0.026]","wellbeing measurement","EFO_0007869"
"32","APOA1","ENSG00000118137","rs61905145","17543928",3e-07,0.0041589946,0.0212691,"[0.013-0.029]","wellbeing measurement","EFO_0007869"
"33","APOA1","ENSG00000118137","rs7396835","13319",1e-09,NA,0.23,NA,"triglyceride measurement","EFO_0004530"
"34","APOA1","ENSG00000118137","rs10047462","17112",4e-25,NA,0.041,"[0.03-0.05]","soluble transferrin receptor measurement, iron biomarker measurement","EFO_0004460, EFO_0004461"
"35","APOA1","ENSG00000118137","rs142958146","56272805",1e-10,0.0118917,0.0769705,"[0.054-0.1]","apolipoprotein a 1 measurement","EFO_0004614"
"36","APOA1","ENSG00000118137","rs11820589","17437",6e-09,NA,0.32,"[0.20-0.44]","metabolic syndrome","EFO_0000195"
"37","APOA1","ENSG00000118137","rs61905084","55279409",4e-38,0.002634,0.03136,"[0.026-0.037]","triglyceride measurement, sleep duration","EFO_0004530, EFO_0005271"
"38","APOA1","ENSG00000118137","rs78692246","36473736",1e-25,NA,NA,NA,"eosinophil count","EFO_0004842"
"39","APOA1","ENSG00000118137","rs12225230","35842603",8e-29,NA,0.055,NA,"high density lipoprotein cholesterol measurement","EFO_0004612"
"40","APOA1","ENSG00000118137","rs11600380","41541881",5e-12,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"41","APOA1","ENSG00000118137","rs75920871","27438968",1e-08,0.0032,0.0183,"[0.012-0.025]","wellbeing measurement","EFO_0007869"
"42","APOA1","ENSG00000118137","rs180344","41541868",2e-24,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"43","APOA1","ENSG00000118137","rs77204473","21793332",1e-11,0.007800468,0.0528139,"[0.038-0.068]","eosinophil count","EFO_0004842"
"44","APOA1","ENSG00000118137","rs75198898","31587094",2e-288,0.008066,0.2927,"[0.28-0.31]","triglyceride measurement","EFO_0004530"
"45","APOA1","ENSG00000118137","rs2070667","21889225",1e-10,0.008522228,0.05496302,"[0.038-0.072]","platelet count","EFO_0004309"
"46","APOA1","ENSG00000118137","rs12280724",NA,NA,NA,NA,NA,NA,NA
"47","APOA1","ENSG00000118137","rs149137426","62319794",2e-10,NA,0.03193,NA,"protein measurement","EFO_0004747"
"48","APOA1","ENSG00000118137","rs1263173","10069374",2e-07,0.0168,0.0873,"[0.054-0.12]","high density lipoprotein cholesterol measurement","EFO_0004612"
"49","APOA1","ENSG00000118137","rs2070669","55279732",2e-25,0.002346,0.02284,"[0.018-0.027]","sleep duration, triglyceride measurement","EFO_0005271, EFO_0004530"
"50","APOA1","ENSG00000118137","rs633389","31587076",1e-12,0.004429,0.03142,"[0.023-0.04]","triglyceride measurement","EFO_0004530"
"51","APOA1","ENSG00000118137","rs75919952","47264148",9e-21,0.2342441,2.189663,"[1.73-2.65]","high density lipoprotein cholesterol measurement","EFO_0004612"
"52","APOA1","ENSG00000118137","rs11216183","36458491",6e-13,NA,NA,NA,"red blood cell distribution width","EFO_0005192"
"53","APOA1","ENSG00000118137","rs145859971","80057535",8e-10,0.0121,0.0743,"[0.051-0.098]","low density lipoprotein cholesterol measurement","EFO_0004611"
"54","APOA1","ENSG00000118137","rs7116797","36599263",2e-09,NA,0.214,NA,"diastolic blood pressure","EFO_0006336"
"55","APOA1","ENSG00000118137","rs9804646","31587080",5e-106,0.006899,0.1509,"[0.14-0.16]","triglyceride measurement","EFO_0004530"
"56","APOA1","ENSG00000118137","rs138326449","80057987",5e-134,0.0296,0.7285,"[0.67-0.79]","high density lipoprotein cholesterol measurement","EFO_0004612"
"57","APOA1","ENSG00000118137","rs2070665","54189688",2e-13,NA,0.049065445,NA,"serum metabolite measurement","EFO_0005653"
"58","APOA1","ENSG00000118137","rs141023293","34613172",7e-07,NA,NA,"[1.06-1.13]","allergic rhinitis","EFO_0005854"
"59","APOA1","ENSG00000118137","rs113932726","31579861",2e-08,0.009683,0.05462,"[0.036-0.074]","low density lipoprotein cholesterol measurement","EFO_0004611"
"60","APOA1","ENSG00000118137","rs12285095","55418498",9e-08,0.066857904,0.3580416,"[0.23-0.49]","cholesteryl ester 18:3 measurement","EFO_0010346"
"61","APOA1","ENSG00000118137","rs6589564","31567834",3e-06,NA,0.4551,NA,"inflammatory bowel disease, femoral neck bone mineral density","EFO_0003767, EFO_0007785"
"62","APOA1","ENSG00000118137","rs651821","31587043",0,0.004448,0.2208,"[0.21-0.23]","triglyceride measurement","EFO_0004530"
"63","APOA1","ENSG00000118137","rs11827828","41541894",1e-11,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"64","APOA1","ENSG00000118137","rs1374117","55279737",3e-17,0.003093,0.02596,"[0.02-0.032]","sleep duration, triglyceride measurement","EFO_0005271, EFO_0004530"
"65","APOA1","ENSG00000118137","rs6589567","30342681",5e-30,0.78773594,8.971131,"[7.43-10.52]","triglyceride measurement","EFO_0004530"
"66","APOA1","ENSG00000118137","rs11216186","41541900",6e-10,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"67","APOA1","ENSG00000118137","rs10892044","41541900",6e-10,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"68","APOA1","ENSG00000118137","rs12280753","21604686",8e-06,0.15,0.69,"[0.40-0.98]","cardiovascular disease, triglyceride measurement, age at assessment, high density lipoprotein cholesterol measurement, low density lipoprotein cholesterol measurement, waist circumference","EFO_0000319, EFO_0004530, EFO_0008007, EFO_0004612, EFO_0004611, EFO_0004342"
"69","APOA1","ENSG00000118137","rs3741298","35847293",1e-300,NA,0.177,NA,"triglyceride measurement","EFO_0004530"
"70","APOA1","ENSG00000118137","rs200856670","64201790",6e-18,0.004839848,0.0418129,"[0.032-0.051]","eosinophil count","EFO_0004842"
"71","APOA1","ENSG00000118137","rs12285074","35228309",5e-12,0.0023,0.0161,"[0.012-0.021]","self reported educational attainment","EFO_0004784"
"72","APOA1","ENSG00000118137","rs139961185","47266497",1e-25,0.01015922,0.1063304,"[0.086-0.126]","triglyceride measurement","EFO_0004530"
"73","APOA1","ENSG00000118137","rs3741297","31579625",3e-157,0.00965,0.2579,"[0.24-0.28]","high density lipoprotein cholesterol measurement","EFO_0004612"
"74","APOA1","ENSG00000118137","rs4520","47793572",8e-09,0.0324,0.1864,"[0.12-0.25]","phosphatidylinositol measurement","EFO_0010230"
"75","APOA1","ENSG00000118137","rs10790162","47738586",3e-77,0.0048,0.0894,"[0.08-0.099]","triglyceride measurement","EFO_0004530"
"76","APOA1","ENSG00000118137","rs139447106","62742753",2e-11,0.004483,0.030081,"[0.021-0.039]","red blood cell density measurement","EFO_0007978"
"77","APOA1","ENSG00000118137","rs12294259","55423985",2e-08,0.06944175,0.39194718,"[0.26-0.53]","triacylglycerol 52:2 measurement","EFO_0010414"
"78","APOA1","ENSG00000118137","rs2075290","35847273",6e-284,NA,0.239,NA,"triglyceride measurement","EFO_0004530"
"79","APOA1","ENSG00000118137","rs2160669","38857",3e-128,NA,NA,NA,"triglyceride measurement","EFO_0004530"
"80","APOA1","ENSG00000118137","rs11216185","20547",1e-07,NA,NA,"[1.33-1.86]","infantile hypertrophic pyloric stenosis","EFO_0004707"
"81","APOA1","ENSG00000118137","rs11216126","19119",3e-34,NA,0.0322,"[0.027-0.037]","high density lipoprotein cholesterol measurement","EFO_0004612"
"82","APOA1","ENSG00000118137","rs79624460","47266858",1e-06,0.01082752,0.05268808,"[0.031-0.074]","triglyceride measurement","EFO_0004530"
"83","APOA1","ENSG00000118137","rs964184","38508818",0,NA,NA,NA,"physical activity, triglyceride measurement","EFO_0003940, EFO_0004530"
"84","APOA1","ENSG00000118137","rs17520254","56271800",1e-44,0.00414682,0.0581661,"[0.05-0.066]","apolipoprotein a 1 measurement","EFO_0004614"
"85","APOA1","ENSG00000118137","rs5128","31395225",5e-44,0.04,0.6,"[0.52-0.68]","blood protein measurement","EFO_0007937"
"86","APOA1","ENSG00000118137","rs2075291","41246464",5e-36,0.0153,0.1931,"[0.16-0.22]","triglyceride measurement","EFO_0004530"
"87","APOA1","ENSG00000118137","rs141469619","56278750",5e-89,0.0101869,0.203826,"[0.18-0.22]","high density lipoprotein cholesterol measurement","EFO_0004612"
"88","APOA1","ENSG00000118137","rs7123454","31587089",3e-75,0.004475,0.08217,"[0.073-0.091]","triglyceride measurement","EFO_0004530"
"89","APOA1","ENSG00000118137","rs525028","31579689",4e-17,0.0061741583,0.05190519,"[0.04-0.064]","high density lipoprotein cholesterol measurement","EFO_0004612"
"90","APOA1","ENSG00000118137","rs45611741","64409452",2e-12,0.013164333,0.09260023,"[0.067-0.118]","mean corpuscular volume","EFO_0004526"
"91","APOA1","ENSG00000118137","rs11823543","17431",3e-09,NA,0.35,"[0.23-0.47]","blood pressure, triglyceride measurement","EFO_0004325, EFO_0004530"
"92","APOA1","ENSG00000118137","rs613808","56271610",0,0.00218408,0.0849428,"[0.081-0.089]","apolipoprotein a 1 measurement","EFO_0004614"
"93","APOA1","ENSG00000118137","rs12718465","31579685",8e-13,0.01205,0.0863,"[0.063-0.11]","high density lipoprotein cholesterol measurement","EFO_0004612"
"94","APOA1","ENSG00000118137","rs1076485","34706621",3e-11,0.0019,0.0129,"[0.0092-0.0166]","self reported educational attainment","EFO_0004784"
"95","APOA1","ENSG00000118137","rs5130","62747066",3e-45,0.002684,0.037927,"[0.033-0.043]","platelet count","EFO_0004309"
"96","APOA1","ENSG00000118137","rs7127590","55279742",9e-25,0.002934,0.02544,"[0.02-0.031]","sleep duration, triglyceride measurement","EFO_0005271, EFO_0004530"
"97","APOA1","ENSG00000118137","rs7396851","55679468",3e-07,NA,NA,"[1.159-1.39]","hypertriglyceridemia","EFO_0004211"
"98","APOA1","ENSG00000118137","rs180349","35847198",2e-46,NA,0.238,NA,"triglyceride measurement","EFO_0004530"
"99","APOA1","ENSG00000118137","rs189693121","16019265",2e-06,NA,0.441,NA,"FEV/FEC ratio, response to bronchodilator","EFO_0004713, GO_0097366"
"100","APOA1","ENSG00000118137","rs11825181","42527",3e-11,0.011,0.076,"[0.054-0.098]","blood metabolite measurement","EFO_0005664"
"101","APOA1","ENSG00000118137","rs6589566","47266773",3e-75,0.007014312,0.1286976,"[0.11-0.14]","triglyceride measurement","EFO_0004530"
"102","APOA1","ENSG00000118137","rs672058","62507407",2e-12,NA,NA,NA,"myeloid white cell count","EFO_0007988"
"103","APOA1","ENSG00000118137","rs7483863","31579681",8e-36,0.005797,0.07245,"[0.061-0.084]","high density lipoprotein cholesterol measurement","EFO_0004612"
"104","APOA1","ENSG00000118137","rs662799","21421937",3.99999999392674e-315,0.0071,0.247,"[0.23-0.26]","triglyceride measurement","EFO_0004530"
"105","APOA1","ENSG00000118137","rs670","31397533",8e-64,0.03,0.54,"[0.48-0.6]","blood protein measurement","EFO_0007937"
"106","APOA1","ENSG00000118137","rs2727790","55599073",9e-06,NA,NA,NA,"multiple sclerosis","EFO_0003885"
"107","APOA1","ENSG00000118137","rs10466588","55418344",9e-07,0.061822217,0.30403185,"[0.18-0.43]","cholesteryl ester 16:1 measurement","EFO_0010342"
"108","APOA1","ENSG00000118137","rs12286037","47266457",1e-27,0.005807716,0.06336656,"[0.052-0.075]","triglyceride measurement","EFO_0004530"
"109","APOA1","ENSG00000118137","rs2075292","47266607",1e-18,0.005284271,0.04665992,"[0.036-0.057]","triglyceride measurement","EFO_0004530"
"110","APOA1","ENSG00000118137","rs28927680","47266659",1e-23,0.006092234,0.06105633,"[0.049-0.073]","triglyceride measurement","EFO_0004530"
"111","APOA1","ENSG00000118137","rs66505542","64341354",4e-35,0.0032386917,0.040067766,"[0.034-0.046]","platelet count","EFO_0004309"
"112","APOA1","ENSG00000118137","rs2044426","41541894",1e-11,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"113","APOA1","ENSG00000118137","rs12287066","56270768",0,0.0048,0.2248,"[0.22-0.23]","triglyceride measurement","EFO_0004530"
"114","APOA1","ENSG00000118137","rs35120633","47738602",2e-68,0.0052,0.0915,"[0.081-0.102]","triglyceride measurement","EFO_0004530"
"115","APOA1","ENSG00000118137","rs603446","19113",2e-86,NA,0.0876,"[0.079-0.096]","triglyceride measurement","EFO_0004530"
"116","APOA1","ENSG00000118137","rs75542613","31578785",3e-15,0.008708,0.06857,"[0.052-0.086]","total cholesterol measurement","EFO_0004574"
"117","APOA1","ENSG00000118137","rs2266788","35847318",6e-289,NA,0.247,NA,"triglyceride measurement","EFO_0004530"
"118","APOA1","ENSG00000118137","rs201462698","41310375",1e-06,0.0118,0.0571,"[0.034-0.08]","breast carcinoma","EFO_0000305"
"119","APOA1","ENSG00000118137","rs180326","19726495",2e-44,NA,0.06,"[0.05-0.06]","triglyceride measurement","EFO_0004530"
"120","APOA1","ENSG00000118137","rs10488699",NA,NA,NA,NA,NA,NA,NA
"121","APOA1","ENSG00000118137","rs11604424","35847248",1e-300,NA,0.17,NA,"triglyceride measurement","EFO_0004530"
"122","APOA1","ENSG00000118137","rs12274192","21797800",2e-10,0.007157664,0.04547737,"[0.031-0.06]","eosinophil percentage of granulocytes","EFO_0007996"
"123","APOA1","ENSG00000118137","rs3135506","35847348",2e-219,NA,0.245,NA,"triglyceride measurement","EFO_0004530"
"124","APOA1","ENSG00000118137","rs139636218","64397096",2e-19,0.013393716,0.12075179,"[0.095-0.147]","platelet component distribution width","EFO_0007984"
"125","APOA1","ENSG00000118137","rs1558861","47266509",9e-74,0.006979545,0.1268124,"[0.11-0.14]","triglyceride measurement","EFO_0004530"
"126","APOA1","ENSG00000118137","rs150555490","56275562",2e-19,0.00428305,0.0387462,"[0.03-0.047]","triglyceride measurement","EFO_0004530"
"127","APOA1","ENSG00000118137","rs7115583","47376228",4e-08,0.24,1.3223,"[0.85-1.79]","high density lipoprotein cholesterol measurement","EFO_0004612"
"128","APOA1","ENSG00000118137","rs76353203","21691810",7e-17,0.129,1.073,"[0.82-1.33]","triglyceride measurement","EFO_0004530"
"129","APOE","ENSG00000130203","rs419010","41168897",8e-09,NA,5.773656,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"130","APOE","ENSG00000130203","rs111371860","41168673",6e-35,NA,12.327317,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"131","APOE","ENSG00000130203","rs440446","55477870",9e-59,NA,NA,"[1.56-1.75]","Alzheimer's disease","EFO_0000249"
"132","APOE","ENSG00000130203","rs449647","31400511",2e-58,NA,NA,NA,"family history of Alzheimer’s disease","EFO_0009268"
"133","APOE","ENSG00000130203","rs78986976","41168849",8e-11,NA,6.508301,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"134","APOE","ENSG00000130203","rs35336243","55477926",2e-09,NA,NA,"[1.15-1.33]","Alzheimer's disease","EFO_0000249"
"135","APOE","ENSG00000130203","rs35568738","55477883",9e-10,NA,NA,"[1.32-1.69]","Alzheimer's disease","EFO_0000249"
"136","APOE","ENSG00000130203","rs71352239","55477887",3e-14,NA,NA,"[1.32-1.59]","Alzheimer's disease","EFO_0000249"
"137","APOE","ENSG00000130203","rs76692773","41168683",9e-24,NA,10.04716,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"138","APOE","ENSG00000130203","rs376097536","31394122",0,0.03,1.17,"[1.11-1.23]","blood protein measurement","EFO_0007937"
"139","APOE","ENSG00000130203","rs11665676","41168724",1e-19,NA,9.089448,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"140","APOE","ENSG00000130203","rs12972970","35789223",4e-12,NA,0.17,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"141","APOE","ENSG00000130203","rs111789331","47457369",1e-11,0.0015072,0.010173,"[0.0072-0.0131]","health study participation","EFO_0010130"
"142","APOE","ENSG00000130203","rs1305062",NA,NA,NA,NA,NA,NA,NA
"143","APOE","ENSG00000130203","rs4802240","31667412",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"144","APOE","ENSG00000130203","rs183427010","41168707",3e-21,NA,9.459884,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"145","APOE","ENSG00000130203","rs3810143","55280146",2e-52,0.201,2.917,"[2.52-3.31]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"146","APOE","ENSG00000130203","rs34078567","80056471",1e-112,0.0029,0.065,"[0.059-0.071]","triglyceride measurement","EFO_0004530"
"147","APOE","ENSG00000130203","rs1081106","31666936",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"148","APOE","ENSG00000130203","rs1871045","22108831",4e-06,NA,0.52,"[0.30-0.74]","waist-hip ratio, smoking behaviour measurement","EFO_0004343, EFO_0005671"
"149","APOE","ENSG00000130203","rs34342646","35789211",2e-12,NA,0.17,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"150","APOE","ENSG00000130203","rs1065853","14981264",0,0.013,0.603,"[0.58-0.63]","low density lipoprotein cholesterol measurement","EFO_0004611"
"151","APOE","ENSG00000130203","rs11671274","64417765",2e-26,0.004707805,0.05017886,"[0.041-0.059]","mean platelet volume","EFO_0004584"
"152","APOE","ENSG00000130203","rs1466435","31667376",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"153","APOE","ENSG00000130203","rs55840414","41168734",5e-18,NA,8.655959,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"154","APOE","ENSG00000130203","rs12721109","35814908",4e-134,NA,0.481,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"155","APOE","ENSG00000130203","rs5167","31395257",0,0.02,0.87,"[0.83-0.91]","blood protein measurement","EFO_0007937"
"156","APOE","ENSG00000130203","rs79701229","41168644",1e-64,NA,16.990263,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"157","APOE","ENSG00000130203","rs73052335",NA,NA,NA,NA,NA,NA,NA
"158","APOE","ENSG00000130203","rs6859","31666924",1e-155,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"159","APOE","ENSG00000130203","rs10421404","35814918",3e-06,NA,0.031,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"160","APOE","ENSG00000130203","rs157580","41168620",8e-220,NA,31.6502,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"161","APOE","ENSG00000130203","rs4803760","31667436",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"162","APOE","ENSG00000130203","rs283814","31667416",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"163","APOE","ENSG00000130203","rs117612135","31667548",9e-31,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"164","APOE","ENSG00000130203","rs34731969","31393596",3e-52,0.03,0.43,"[0.37-0.49]","blood protein measurement","EFO_0007937"
"165","APOE","ENSG00000130203","rs7256200","35789161",1e-19,NA,0.15,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"166","APOE","ENSG00000130203","rs2927482","55280142",2e-16,0.1934,1.562,"[1.18-1.94]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"167","APOE","ENSG00000130203","rs7246099","31398427",2e-55,0.03,0.44,"[0.38-0.5]","blood protein measurement","EFO_0007937"
"168","APOE","ENSG00000130203","rs375972689","56277323",5e-95,0.0100809,0.208537,"[0.19-0.23]","apolipoprotein B measurement","EFO_0004615"
"169","APOE","ENSG00000130203","rs157581","35789234",9e-12,NA,0.1,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"170","APOE","ENSG00000130203","rs440277","63154957",3e-14,0.026731139,0.20451695,"[0.15-0.26]","blood protein measurement","EFO_0007937"
"171","APOE","ENSG00000130203","rs77719426","61999988",8e-18,0.0103138,0.0886896,"[0.068-0.109]","c-reactive protein measurement","EFO_0004458"
"172","APOE","ENSG00000130203","rs2376866","31667536",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"173","APOE","ENSG00000130203","rs140480140","62709695",3.95252516672997e-323,0.00563563,0.216585,"[0.21-0.23]","low density lipoprotein cholesterol measurement","EFO_0004611"
"174","APOE","ENSG00000130203","rs12974942","31667396",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"175","APOE","ENSG00000130203","rs28399657","31666852",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"176","APOE","ENSG00000130203","rs394819","14869646",8e-11,NA,NA,"[1.55-2.3]","Alzheimer's disease","EFO_0000249"
"177","APOE","ENSG00000130203","rs7259004","14927474",2e-10,0.0143,0.0906,"[0.063-0.119]","blood metabolite measurement, sphingolipid measurement","EFO_0005664, EFO_0004622"
"178","APOE","ENSG00000130203","rs12978931","31667408",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"179","APOE","ENSG00000130203","rs11672748","41168688",1e-23,NA,10.028075,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"180","APOE","ENSG00000130203","rs11669338","31667472",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"181","APOE","ENSG00000130203","rs760136","31667476",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"182","APOE","ENSG00000130203","rs561654715","41168730",9e-19,NA,8.842536,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"183","APOE","ENSG00000130203","rs190712692","61999980",7e-86,0.00464074,0.0911409,"[0.082-0.1]","c-reactive protein measurement","EFO_0004458"
"184","APOE","ENSG00000130203","rs3925681","31666964",7e-162,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"185","APOE","ENSG00000130203","rs576651896","41168840",2e-11,NA,6.6975107,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"186","APOE","ENSG00000130203","rs7259620","36141721",2e-23,0.082315,NA,"[1.51-1.84]","Alzheimer's disease","EFO_0000249"
"187","APOE","ENSG00000130203","rs4803764","55477955",1e-34,NA,NA,"[1.42-1.63]","Alzheimer's disease","EFO_0000249"
"188","APOE","ENSG00000130203","rs8112526","31667456",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"189","APOE","ENSG00000130203","rs150639620","31667496",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"190","APOE","ENSG00000130203","rs34095326","35789246",2e-10,NA,0.12,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"191","APOE","ENSG00000130203","rs72654472","61999976",1e-34,0.00621551,0.076407,"[0.064-0.089]","c-reactive protein measurement","EFO_0004458"
